tag_id,genetic_score,entry_count
128,0.5128571428571429,5
641,0.7102836879432624,47
130,0.5688888888888889,5
516,0.6522623438646279,72
518,0.8620482213989078,76
521,0.7495455428858029,72
523,0.5231643641697313,71
524,0.7417627716215811,73
525,0.7641989922138074,234
528,0.615224614316686,74
529,0.542821177548869,73
530,0.6868341209592426,142
531,0.5205073905791724,75
404,0.4743589743589744,52
405,0.17373737373737375,18
406,0.407051282051282,52
26,0.6066544566544566,130
27,0.9227313566936208,53
28,0.6134453781512604,51
416,0.4199108046301465,790
32,0.49845679012345673,36
418,0.42808073050008527,279
420,0.5957421414708534,1832
37,0.3680555555555555,12
422,0.2855022831050228,146
293,0.6068181818181817,40
296,0.6229847741712148,590
297,0.6211443981510871,598
427,0.391570943828496,427
430,0.5808016227307448,6147
431,0.3110950891493216,1381
432,0.5092898910578871,5821
305,0.7576470588235293,85
304,0.8601190476190474,84
57,0.5551697530864197,36
318,0.5732818826389445,968
319,0.8733550315258144,388
450,0.696078431372549,119
581,0.6899754761697824,418
326,0.549536230063703,43
327,0.339080459770115,58
456,0.8744830438378826,403
712,0.8791666666666667,36
458,0.9091880341880341,78
328,0.607759051503124,43
583,0.615570626778015,114
325,0.3111111111111111,18
334,0.7174984005118361,521
717,0.6270061728395061,36
331,0.6071428571428571,7
340,0.8201467776999573,43
345,0.8746285466849714,646
347,0.38803407404438545,51
348,0.3972433311442599,9
351,0.5896694214876033,44
356,0.6852719633908078,1523
357,0.4917525908310143,60
616,0.6897959183673469,49
360,0.6777343309918122,1604
618,0.5788288288288289,37
362,0.4450598636585637,42
372,0.9070512820512822,52
